,#,L/R,External,TFlight,TContact,TStep,Elevation,Pace[step/s],Pace[step/m],Step,Speed,Acc,Split,StepAngle,Imbalance,Distance,Stride,StrideTime\Cycle,SingleSupport,SingleSupport%,TotalDoubleSupport,TotalDoubleSupport%,TStance,TStance%,TSwing,TSwing%,ContactPhase,ContactPhase%,FootFlat,FootFlat%,PropulsivePhase,PropulsivePhase%,LoadResponse,LoadResponse%,PreSwing,PreSwing%,TFlightPerc,TContactPerc,AbsoluteValue
40,40,L,,,0.875,0.635,,,93.24,69,1.04,0.01,45.627,,,5255,134,1.287,0.379,30.9,0.496,40.4,0.875,71.3,0.374,29.1,0.161,18.4,0.517,59.1,0.197,22.5,0.265,21.6,0.231,18.8,,71.3,49294
41,41,R,,,0.865,0.644,,,93.82,67,1.06,0.01,46.271,,-0.857,5321,136,1.279,0.352,28,0.513,40.9,0.865,68.9,0.379,29.6,0.154,17.8,0.522,60.3,0.189,21.9,0.231,18.4,0.282,22.5,,68.9,49938
42,42,L,,,0.915,0.583,,,97.8,60,1.04,-0.01,46.854,,,5382,127,1.227,0.39,30,0.525,40.4,0.915,70.3,0.352,28.7,0.156,17,0.564,61.6,0.195,21.4,0.282,21.7,0.243,18.7,,70.3,50521
43,43,R,,,0.883,0.672,,,95.62,70,1.04,0,47.526,,4.481,5452,130,1.255,0.386,30.5,0.497,39.3,0.883,69.9,0.39,31.1,0.182,20.6,0.473,53.6,0.228,25.8,0.243,19.2,0.254,20.1,,69.9,51193
44,44,L,,,0.879,0.629,,,92.24,67,1.05,0.01,48.155,,,5518,137,1.301,0.381,30.7,0.498,40.2,0.879,70.9,0.386,29.7,0.169,19.2,0.516,58.7,0.194,22.1,0.254,20.5,0.244,19.7,,70.9,51822
45,45,R,,,0.896,0.635,,,94.94,64,1.04,-0.01,48.79,,-1.195,5582,131,1.264,0.361,28.7,0.535,42.5,0.896,71.1,0.381,30.1,0.16,17.9,0.533,59.5,0.203,22.6,0.244,19.4,0.291,23.1,,71.1,52457
46,46,L,,,0.905,0.605,,,96.77,60,1,-0.01,49.395,,,5642,124,1.24,0.364,29.2,0.541,43.3,0.905,72.5,0.361,29.1,0.153,16.9,0.571,63.1,0.181,20,0.291,23.3,0.25,20,,72.5,53062
47,47,R,,,0.874,0.655,,,95.24,68,1.02,0.01,50.05,,2.21,5710,128,1.26,0.343,27.9,0.531,43.2,0.874,71.1,0.364,28.9,0.155,17.7,0.523,59.8,0.196,22.5,0.25,20.3,0.281,22.9,,71.1,53717
48,48,L,,,0.901,0.593,,,96.15,59,1.02,0,50.643,,,5770,127,1.248,0.355,27.8,0.546,42.7,0.901,70.5,0.343,27.5,0.142,15.8,0.577,64,0.182,20.2,0.281,22,0.265,20.7,,70.5,54310
49,49,R,,,0.914,0.636,,,97.64,68,1.03,0.01,51.279,,0.777,5837,127,1.229,0.377,29.4,0.537,41.9,0.914,71.4,0.355,28.9,0.159,17.4,0.56,61.3,0.195,21.3,0.265,20.7,0.272,21.2,,71.4,54946
50,50,L,,,0.874,0.642,,,93.9,66,1.05,0.01,51.921,,,5903,134,1.278,0.367,29,0.507,40,0.874,69,0.377,29.5,0.2,22.9,0.502,57.4,0.172,19.7,0.272,21.5,0.235,18.6,,69,55588
51,51,R,,,0.89,0.639,,,93.68,68,1.05,0,52.56,,-3.204,5971,134,1.281,0.392,31.8,0.498,40.5,0.89,72.3,0.367,28.6,0.163,18.3,0.538,60.4,0.189,21.3,0.235,19.1,0.263,21.4,,72.3,56227
52,52,L,,,0.872,0.627,,,94.79,64,1.04,0,53.187,,,6034,132,1.266,0.341,28.2,0.531,43.8,0.872,72,0.392,31,0.162,18.6,0.514,58.9,0.196,22.5,0.263,21.7,0.268,22.1,,72,56854
53,53,R,,,0.889,0.604,,,97.48,60,1.01,-0.01,53.791,,-2.007,6095,124,1.231,0.339,27.3,0.55,44.2,0.889,71.5,0.341,27.7,0.157,17.7,0.53,59.6,0.202,22.7,0.268,21.6,0.282,22.7,,71.5,57458
54,54,L,,,0.898,0.607,,,99.09,65,1.03,0.01,54.398,,,6159,125,1.211,0.354,28.3,0.544,43.5,0.898,71.7,0.339,28,0.163,18.2,0.565,62.9,0.17,18.9,0.282,22.5,0.262,20.9,,71.7,58065
55,55,R,,,0.892,0.636,,,96.54,64,1.04,0,55.034,,0.835,6223,129,1.243,0.354,28.1,0.538,42.6,0.892,70.7,0.354,28.5,0.132,14.8,0.579,64.9,0.181,20.3,0.262,20.8,0.276,21.9,,70.7,58701
56,56,L,,,0.876,0.616,,,95.85,65,1.03,0,55.65,,,6287,129,1.252,0.37,30,0.506,41.1,0.876,71.1,0.354,28.3,0.145,16.6,0.575,65.6,0.156,17.8,0.276,22.4,0.23,18.7,,71.1,59317
57,57,R,,,0.88,0.646,,,95.09,69,1.06,0.01,56.296,,-1.142,6356,134,1.262,0.356,29.4,0.524,43.3,0.88,72.7,0.37,29.3,0.15,17,0.525,59.7,0.205,23.3,0.23,19,0.294,24.3,,72.7,59963
58,58,L,,,0.896,0.586,,,97.4,59,1.04,-0.01,56.882,,,6416,128,1.232,0.331,25.6,0.565,43.8,0.896,69.4,0.356,28.9,0.15,16.7,0.572,63.8,0.174,19.5,0.294,22.8,0.271,21,,69.4,60549
